Institution,Requirement ID,Block Type,Catalog,Year,Explanation,Can Ellucian
BAR01,RA000625,MAJOR,GRAD,Current,Empty block (all comments),No
BCC01,RA000276,CONC,UGRD,Current,Nested subsets not allowed; PSEUDO incorrectly used in body.,Unknown
BCC01,RA000597,MAJOR,UGRD,Current,Invalid credit range (1-2) on line 85,Yes
BKL01,RA003670,MAJOR,UGRD,Current,Missing comma in course list on line 100,Unknown
BMC01,RA000289,OTHER,UGRD,Current,Missing BeginIf/EndIf in multiple places,Unknown
BMC01,RA000291,OTHER,UGRD,Current,Missing BeginIf/EndIf in multiple places,Yes
BMC01,RA000335,OTHER,UGRD,Current,Missing BeginIf/EndIf in multiple places,Yes
BMC01,RA000367,OTHER,UGRD,Current,Illegal if-else structure in header,Unknown
CSI01,RA000365,MAJOR,UGRD,Current,Malformed course (“10 @@”) on line 32,unknown
CSI01,RA000465,MAJOR,UGRD,Current,Malformed course (“10 @@”) on line 30,unknown
CSI01,RA000575,MAJOR,UGRD,Current,Malformed course (“10 @@”) on line 54,unknown
CSI01,RA000594,MAJOR,UGRD,Current,Malformed course (“10 @@”) on line 54,unknown
CSI01,RA000606,MAJOR,UGRD,Current,Malformed course (“10 @@”) on line 32,unknown
CSI01,RA000611,MAJOR,UGRD,Current,Malformed course (“10 @@”) on line 29,unknown
HTR01,RA000296,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000298,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000299,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000303,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000332,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000335,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000339,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000348,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000349,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000350,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000397,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000418,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000424,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000480,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000481,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000493,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000642,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000644,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000645,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000646,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000647,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000736,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000739,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000743,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000750,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000753,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000756,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000762,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000765,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000769,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000773,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000776,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000781,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000784,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000810,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000814,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000819,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000835,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA000850,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA001071,MINOR,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA001105,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA001107,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA001221,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
HTR01,RA001223,OTHER,UGRD,Current,Timeout after 60 seconds,unknown
